"Molecule","Molecule name","Atom count","Bond count"
"OC(=O)Cc1cc(=O)[nH][nH]c1=O","ZINC000001719011",16,16
"Cn1nc([nH]c1=O)C(O)=O","ZINC000082522342",13,13
"N[C@@H](C(O)=O)c1nn[nH]n1","ZINC000003995585",13,13
"N[C@H](C(O)=O)c1nn[nH]n1","ZINC000004214424",13,13
"OC(=O)[C@@H]1C[C@H](C[NH2+]1)P(O)(O)O","ZINC000206240649",20,20
"OC(=O)[C@H]1C[C@@H](C[NH2+]1)P(O)(O)O","ZINC000206240683",20,20
"OC(=O)[C@H]1C[C@H](C[NH2+]1)P(O)(O)O","ZINC000206240710",20,20
"OC(=O)\C=C\C(=O)Nc1nnn[nH]1","ZINC000006191571",16,16
"OC(=O)\C=C\C(=O)Nc1nn[nH]n1","ZINC000006191571",16,16
"OCCN(CC(O)=O)CC(O)=O","ZINC000002521573",21,20
"OC(=O)CNCP(O)(O)=O","ZINC000003872713",16,15
"OC(=O)CONC(=O)C(O)=O","ZINC000039058365",14,13
"OC(=O)[C@@H]1C[C@@H](C[NH2+]1)P(O)(O)O","ZINC000035034910",20,20
"O=c1ccc(=O)n([nH]1)-c1nnn[nH]1","ZINC000006622460",15,16
"O=c1ccc(=O)n([nH]1)-c1nn[nH]n1","ZINC000006622460",15,16
"O=c1[nH]c2[nH]c(=O)[nH]c(=O)c2[nH]1","ZINC000002041003",15,16
"OC(=O)CC(=O)N1CCNCC1","ZINC000002456219",23,23
"OC(=O)C(=O)N1CCNCC1","ZINC000002456218",20,20
"NC(=O)c1nn[nH]c1C(N)=O","ZINC000003900784",15,15
"NC(=O)c1n[nH]nc1C(N)=O","ZINC000003900784",15,15
"OC(=O)CN[C@@H]1CS(=O)(=O)C=C1","ZINC000004298576",20,20
"O=N(=O)C1=NNNN1Cc1nn[nH]n1","ZINC000009972308",18,19
"Oc1[nH][nH]c(=O)c2ncnc12","ZINC000012428239",14,15
"Cn1c2[nH]c(=O)[nH]c2c(=O)n(C)c1=O","ZINC000100043983",21,22
"Cn1c2ncc(=O)[nH]c2c(=O)[nH]c1=O","ZINC000000402066",19,20
"Cn1c2[nH]c(=O)[nH]c(=O)c2[nH]c1=O","ZINC000002584391",18,19
"Cn1c(=O)[nH]c(=O)n(C)c1=O","ZINC000005296475",17,17
"Cn1c2c([nH]c1=O)[nH]c(=O)[nH]c2=O","ZINC000001845978",18,19
"Cn1c2nc(N)[nH]c(=O)c2ncc1=O","ZINC000000339538",20,21
"Cn1c(N)nc2[nH]c(=O)cnc2c1=O","ZINC000007738232",20,21
"CN1C2NCCN(O)C2C(=O)NC1=O","ZINC000253512448",19,20
"CNc1nc(O)cc(=O)[nH]1","ZINC000014983187",16,16
"Cn1cc(nn1)-c1nn[nH]n1","ZINC000888094350",15,16
"CNc1[nH]c(=O)[nH]c(=O)c1NC=O","ZINC000000967255",20,20
"NC(=O)c1c[nH]nn1","ZINC000039632300",11,11
"O=C1NS(=O)(=O)[C@@H]2CCCN[C@H]12","ZINC000306575900",21,22
"COC(=O)Cc1nn[nH]n1","ZINC000020045582",15,15
"COC(=O)[C@@H](N)CC(O)=O","ZINC000001709620",18,17
"COC(=O)[C@H](N)CC(O)=O","ZINC000002560988",18,17
"COC(=O)[C@@H]1C[C@@H](CN1)c1nn[nH]n1","ZINC000095296944",24,25
"NC(=N)S(O)(O)O","ZINC000072399365",10,9
"NC(=O)Cc1nn[nH]n1","ZINC000005502357",13,13
"NC(=O)N1CCN(CC(O)=O)CC1","ZINC000002599514",25,25
"NC(=O)Nc1c(O)nc(N)[nH]c1=O","ZINC000002525838",19,19
"NC(=O)N[C@@H]1NC(=O)NC1=O","ZINC000001843030",16,16
"NC(=O)N[C@H]1NC(=O)NC1=O","ZINC000001843029",16,16
"O\N=c1/nc2[nH]onc2[nH]c1=O","ZINC000005753647",14,15
"NC(=O)c1c(N)nc(N)[nH]c1=O","ZINC000012505461",18,18
"NCC(=O)NCC(=O)NCC(O)=O","ZINC000001678871",23,22
"N[C@H]1NC(=O)NC(=O)C1=O","ZINC000100041400",14,14
"NCc1cc(=O)n2nc[nH]c2n1","ZINC000100285856",18,19
"NCc1n[nH]c(=O)[nH]1","ZINC000031425168",13,13
"N\N=c1/s[nH]nc1C(N)=O","ZINC000004475885",14,14
"N[C@H](CC(O)=O)[C@@H]([NH3+])CC(O)=O","ZINC000044214878",23,22
"N[C@@H](CC(O)=O)[C@H]([NH3+])CC(O)=O","ZINC000044214878",23,22
"N[C@@H](CC(O)=O)[C@@H]([NH3+])CC(O)=O","ZINC000044214883",23,22
"N[C@@H](CO)C(=O)NCC(O)=O","ZINC000002384922",20,19
"[NH3+][C@@H](CCP(O)(O)=O)C(O)=O","ZINC000002033983",20,19
"[NH3+][C@@H](CP(O)(O)=O)C(O)=O","ZINC000003873028",17,16
"N[C@@H]([C@@H]([NH3+])C(O)=O)C(O)=O","ZINC000038232976",17,16
"N[C@H](CC(O)=O)[C@H]([NH3+])CC(O)=O","ZINC000044214880",23,22
"[NH3+][C@H](CCP(O)(O)=O)C(O)=O","ZINC000001656225",20,19
"[NH3+][C@H](CP(O)(O)=O)C(O)=O","ZINC000003873029",17,16
"OC(=O)[C@@H]1C[C@H](C[NH2+]1)P(O)(O)=O","ZINC000206240649",21,21
"CS(=O)(=O)NCc1nn[nH]n1","ZINC000044930779",17,17
"CS(=O)(=O)c1nn[nH]n1","ZINC000012371836",12,12
"CS(=O)(=O)c1nc(N)n[nH]1","ZINC000008238045",15,15
"CS(=O)(=O)c1n[nH]c(N)n1","ZINC000008238045",15,15
"CS(=O)(=O)c1cnc(N)[nH]c1=O","ZINC000072115502",18,18
"Nc1ncc(N)c(=O)[nH]1","ZINC000034406024",14,14
"Nc1nc(O)c(N)c(=O)[nH]1","ZINC000018156496",15,15
"Nc1nc(N)c(C=O)c(=O)[nH]1","ZINC000012362025",16,16
"Nc1nc2[nH]c(=O)cnc2c(=O)[nH]1","ZINC000014419577",17,18
